S135_001_00000001.png,NEUTRAL,
S045_004_00000014.png,3.0,
S130_009_00000019.png,6.0,
S135_012_00000003.png,NEUTRAL,
S042_001_00000017.png,7.0,
S045_005_00000002.png,NEUTRAL,
S042_002_00000014.png,6.0,
S092_001_00000003.png,NEUTRAL,
S073_001_00000003.png,NEUTRAL,
S102_003_00000014.png,4.0,
S501_004_00000003.png,NEUTRAL,
S074_004_00000018.png,3.0,
S068_003_00000002.png,NEUTRAL,
S052_006_00000001.png,NEUTRAL,
S073_001_00000013.png,7.0,
S064_001_00000010.png,7.0,
S042_001_00000003.png,NEUTRAL,
S060_003_00000002.png,NEUTRAL,
S083_003_00000018.png,5.0,
S032_001_00000022.png,7.0,
S138_007_00000010.png,6.0,
S035_001_00000014.png,7.0,
S137_001_00000003.png,NEUTRAL,
S126_008_00000027.png,1.0,
S055_003_00000008.png,3.0,
S029_001_00000019.png,1.0,
S034_003_00000026.png,1.0,
S130_007_00000019.png,1.0,
S086_002_00000003.png,NEUTRAL,
S075_006_00000003.png,NEUTRAL,
S051_003_00000016.png,3.0,
S066_003_00000012.png,5.0,
S089_002_00000019.png,5.0,
S092_001_00000002.png,NEUTRAL,
S078_004_00000026.png,5.0,
S035_001_00000015.png,7.0,
S136_003_00000013.png,6.0,
S084_002_00000021.png,4.0,
S093_004_00000016.png,5.0,
S107_001_00000003.png,NEUTRAL,
S066_005_00000010.png,1.0,
S111_001_00000001.png,NEUTRAL,
S075_002_00000013.png,7.0,
S131_006_00000021.png,5.0,
S096_001_00000002.png,NEUTRAL,
S057_001_00000019.png,7.0,
S504_002_00000002.png,NEUTRAL,
S050_006_00000023.png,5.0,
S062_004_00000023.png,5.0,
S045_005_00000028.png,1.0,
S099_001_00000014.png,7.0,
S076_006_00000002.png,NEUTRAL,
S054_002_00000002.png,NEUTRAL,
S046_002_00000004.png,7.0,
S124_003_00000011.png,4.0,
S124_003_00000003.png,NEUTRAL,
S035_006_00000016.png,5.0,
S026_002_00000014.png,6.0,
S055_001_00000012.png,7.0,
S097_001_00000003.png,NEUTRAL,
S050_006_00000002.png,NEUTRAL,
S073_006_00000001.png,NEUTRAL,
S127_010_00000003.png,NEUTRAL,
S134_004_00000015.png,5.0,
S114_001_00000001.png,NEUTRAL,
S128_011_00000003.png,NEUTRAL,
S110_001_00000013.png,7.0,
S157_002_00000009.png,2.0,
S074_005_00000042.png,5.0,
S074_002_00000016.png,7.0,
